1	手掌软硬度异常
0	常异度硬软掌手
1	多发性针尖样瘀点
0	点瘀样尖针性发多
1	肩臂外侧的感觉障碍和功能受限
0	限受能功和碍障觉感的侧外臂肩
1	下肢或周身软瘫
0	瘫软身周或肢下
1	累及整个腹腔的腹膜炎
0	炎膜腹的腔腹个整及累
1	皮肤黏膜出血
0	血出膜黏肤皮
1	言语自动症
0	症动自语言
1	脉搏短绌
0	绌短搏脉
1	吞咽时胸痛
0	痛胸时咽吞
1	眼结膜水肿及角膜溃疡
0	疡溃膜角及肿水膜结眼
1	带血性分泌物
0	物泌分性血带
1	蓝黄色盲
0	盲色黄蓝
1	骨核出现迟
0	迟现出核骨
1	失水
0	水失
1	皮肤粘连
0	连粘肤皮
1	晕轮效应
0	应效轮晕
1	口唇出血
0	血出唇口
1	肝淤血
0	血淤肝
1	颌下腺导管口有咸味或脓性分泌物排出
0	出排物泌分性脓或味咸有口管导腺下颌
1	脓疱
0	疱脓
1	小儿尿血
0	血尿儿小
1	运动腹痛
0	痛腹动运
1	下腹部钝痛和酸胀感
0	感胀酸和痛钝部腹下
1	肢端发绀
0	绀发端肢
1	雄激素过多
0	多过素激雄
1	趾短小
0	小短趾
1	耳壳的干性坏死
0	死坏性干的壳耳
1	喉部痉挛
0	挛痉部喉
1	低血磷
0	磷血低
1	汗闭现象
0	象现闭汗
1	栓塞性肾炎
0	炎肾性塞栓
1	餐后血糖高
0	高糖血后餐
1	局部压痛
0	痛压部局
1	睑结膜硬而扁平的乳头
0	头乳的平扁而硬膜结睑
1	右侧束支传导阻滞
0	滞阻导传支束侧右
1	阑尾缺血充血
0	血充血缺尾阑
1	骨痒
0	痒骨
1	颌骨发育过度
0	度过育发骨颌
1	拔牙后出血不止
0	止不血出后牙拔
1	毛发干枯
0	枯干发毛
1	低磷血症
0	症血磷低
1	重度痛
0	痛度重
1	耳痒
0	痒耳
1	腰酸
0	酸腰
1	新生儿期癫痫持续状态
0	态状续持痫癫期儿生新
1	卵巢性多毛
0	毛多性巢卵
1	被迫体位
0	位体迫被
1	纤维结构不良
0	良不构结维纤
1	胸膜摩擦音
0	音擦摩膜胸
1	肺实变
0	变实肺
1	易跌倒
0	倒跌易
1	埋藏齿
0	齿藏埋
1	皮质素不足
0	足不素质皮
1	色情行为
0	为行情色
1	营养障碍
0	碍障养营
1	髋外侧可见皮下瘀血斑
0	斑血瘀下皮见可侧外髋
1	高血氮
0	氮血高
1	脉缓
0	缓脉
1	肛门湿疹瘙痒
0	痒瘙疹湿门肛
1	肝功能不全
0	全不能功肝
1	肘外侧夜间痛
0	痛间夜侧外肘
1	肾包膜过度膨胀
0	胀膨度过膜包肾
1	回肠重复畸形
0	形畸复重肠回
1	皮损似干燥的灰泥样
0	样泥灰的燥干似损皮
1	低血钾
0	钾血低
1	一侧阴囊内逐渐增大的无痛性肿块
0	块肿性痛无的大增渐逐内囊阴侧一
1	疱疹
0	疹疱
1	脚趾皮肤黄泡后紫黑
0	黑紫后泡黄肤皮趾脚
1	肝病容
0	容病肝
1	手、足部厚壁水疱
0	疱水壁厚部足、手
1	内脏出血
0	血出脏内
1	老年妇女乳房增大
0	大增房乳女妇年老
1	人格解体
0	体解格人
1	胎儿酒精影响
0	响影精酒儿胎
