1	高血脂慢性浅表性胃炎动脉硬化和高血脂、浅表性慢性胃炎	好的，谢谢
1	视网膜色素变性视神经萎缩白内障视网膜色素变性加白内障加	就是常规检查可以检查出这几种疾病呗
1	霉菌性阴道炎霉菌性阴道炎用制霉菌素阴道泡腾片后很痒该怎	是用了就痒，不知道是不是过敏反应但是阴道感觉还是红肿的没有好转的迹象但也没恶化
1	剖宫产65天后大出血产后65天大出血不知道怎么办	很多今天打了宫缩素已经恢复正常量还有吃药
1	很多今天打了宫缩素已经恢复正常量还有吃药	没有
1	外阴两侧瘙痒，还长颗粒，尤其是晚上特别痒希望医生能帮我	是拍什么图，外阴的图片吗
1	是拍什么图，外阴的图片吗	好，那我去拍张，还有我屁眼也觉得痒
1	发烧，咳嗽，全身喊累儿童喊累嗜睡	39度
1	眉部激光脱毛后眼睛不适眼白发红眉部激光脱毛后眼睛不适	谢谢大夫今天比昨天好点了角膜损伤会自己痊愈吗
1	急性中耳炎咨询急性中耳炎头孢剂量和疗程	孩子就是不太配合医生的检查。请问医生，孩子6岁，18公斤。头孢克污每天两次，每次一包（50毫克）连用了10天。治疗中耳炎的剂量和疗程够了吗？
1	好的妇幼之前开过崩酸冰片滴耳液也不能软化吧？孩子现在有中耳炎可以用碳酸氢钠滴耳吗？怎么用呢？	医生您好，请问对于孩子，碳酸氢钠滴耳液要用几次？每次几滴呢？要用几天再到医院来清理呢？谢谢！
1	能不能做术前四项检查检测结果大概什么时候能出来	谢谢您，早上去需要空腹吗？四项的费用是多少呢？挂号完直接去皮肤科跟医生说测四项就行了吧？
1	不孕症我这样的情况，amh能否提高？请问我还能自然怀孕吗？	好的，感谢医生！
1	好的，感谢医生！	医生，请问中山一院这两天抽血的上班吗？之前看了别的医生，打算做试管，档案在那里，请问可以去您那里看吗？
1	医生，请问中山一院这两天抽血的上班吗？之前看了别的医生，打算做试管，档案在那里，请问可以去您那里看吗？	好，谢谢医生
1	四维双胎之一宝宝左下肢皮下组织增厚医生帮帮我，急	核磁共振能拍得更清楚吗，听说这个淋巴问题无法治愈，就怕影响他以后的生活
1	核磁共振能拍得更清楚吗，听说这个淋巴问题无法治愈，就怕影响他以后的生活	家里人一直要我减胎，减不了就两个都不要，压力很大
1	家里人一直要我减胎，减不了就两个都不要，压力很大	两个宝宝的基因相似，那另一个会不会也存在问题呢
1	两个宝宝的基因相似，那另一个会不会也存在问题呢	您有没有比较好的小儿外科医生推荐呀，我也想咨询一下
1	您有没有比较好的小儿外科医生推荐呀，我也想咨询一下	30周打胎还能打吗，用剖腹吗，伤害是和正常生产一样吗，我想先了解一下，我想再跟家人争取下，不得就做最坏打算
1	有接触性出血有性生活出血三天检查了Hpv看看化验结果有没有事！	那化验结果是没事的？？？那我的月经不准，这次又推迟了15天了，，是不是排卵的问题呢？
1	前列腺？急急急急急	谢谢
1	糜烂性胃炎食管炎如何治疗疾病	做过没有幽门螺旋杆菌现在就是腹部非常疼痛剑尖有压痛拉肚子腹胀
1	乙肝表面抗体90核心抗体4.0乙肝25阳可以做重体力工作和上	非常感谢吕主任，谢谢
1	腹股沟淋巴结肿大腹股沟皮下包块	想请您帮忙解读一下上面的b超结果，是否要治疗，或做进一步的检查？因为做完b超医生下班了
1	想请您帮忙解读一下上面的b超结果，是否要治疗，或做进一步的检查？因为做完b超医生下班了	左侧的包块是否是普通的淋巴结肿大？
1	左侧的包块是否是普通的淋巴结肿大？	按压不疼，但用手敲会有点刺痛
1	按压不疼，但用手敲会有点刺痛	？
1	抗谬肋氏管激素偏低抗缪肋氏管激素偏低	昨天同房后出血了，以前都不会，先是鲜红色，今天变褐色，少量，不想去医院检查，过几天它会自己停吧？还是要吃什么药？
1	老公查过，精子活力没问题。月经来前有分泌物要怎么治疗？	最近吃了两个月的地屈孕酮片，超声没去检查过
1	龟头脱皮时间短想时间长怎么办	20
1	20	多的3次
1	多的3次	没看过医生
1	没看过医生	2分钟
1	2分钟	喝酒后会时间长
1	喝酒后会时间长	天天有
1	天天有	医生帮忙看看
1	血管炎血管炎一年	谢谢
1	咳嗽有痰，曾有半夜气短咳喘偶尔气短,胸闷，或运动咳喘，	非常感谢您的回馈
1	鼻塞，流涕，咳嗽10个多月宝宝鼻塞流涕咳嗽怎么办？	宋医生，宝宝鼻塞流涕症状有好转，感冒药就没给他喝了，但今天咳嗽加重了，睡觉起来那会要严重些，听着有痰，需要给他喝易坦静或者什么药吗？
1	血压高血沉高怎么回事	你好医生
1	你好医生	刚刚拍了动态心电图
1	刚刚拍了动态心电图	血压最高时144/100
1	血压最高时144/100	但是药物干预后变得110/80了
1	但是药物干预后变得110/80了	请问脂蛋白a高是不是对这个也有影响的
1	请问脂蛋白a高是不是对这个也有影响的	血小板这个会不会因为细菌感染？
1	血小板这个会不会因为细菌感染？	您看我那尿沉渣细菌达到800多
1	腰椎间盘突出伴钙化椎间盘突出伴钙化	谢谢！CT片上看钙化严重吗？需要手术吗？
1	谢谢！CT片上看钙化严重吗？需要手术吗？	哦，非常感谢！
1	耳朵后面阵痛耳朵后面和脸部神经疼	请问大夫血象高什么意思只是偶尔疼阵疼现在又不疼了但是脸部那块感觉牙齿处于紧张状态请问大夫这是怎么回事呢
1	请问大夫血象高什么意思只是偶尔疼阵疼现在又不疼了但是脸部那块感觉牙齿处于紧张状态请问大夫这是怎么回事呢	好的谢谢大夫
1	眼睛充血眼睛充血干涩	医生好我应该怎么做呢？有大问题吗
1	医生好我应该怎么做呢？有大问题吗	那我明天还是来医院看一下吧
1	肾盂肾癌肾盂肾癌术后几个月转移复发	许主任，你好，病人现在身体很不好，身上越来越疼，怕放疗身体吃不消，一直没做放疗，就化疗四次，现在吃了一个多月的中药，没什么效果
1	好大夫在线有医生联系我说他院临床试验，免疫治疗PD_Li抑制剂的临床研究，可以考虑吗？	还有肿瘤医院有医生建议吃阿西替你有用吗？请许主任给予解答，非常感谢，祝愿米新的一年工作顺利，事事如意。
1	还有肿瘤医院有医生建议吃阿西替你有用吗？请许主任给予解答，非常感谢，祝愿米新的一年工作顺利，事事如意。	好大夫在线有医生联系我说他院临床试验，免疫治疗PD_Li抑制剂的临床研究，这个可信吗？
1	乙肝传染，遗传	有新资料上传
1	有新资料上传	没有。根据以上信息请问您有什么初步的判断吗
1	没有。根据以上信息请问您有什么初步的判断吗	请您根据他的病情对遗传和伴侣的影响讲一下，万分感谢您
1	请您根据他的病情对遗传和伴侣的影响讲一下，万分感谢您	请问您，他这种情况注意饮食休息，能保持多长时间呢？
1	膝盖里发热有刺痛感晚上睡觉尾椎出汗小腿静脉曲张小腿里	我发照片你帮我确诊看看
1	腺样体肥大，扁桃体肥大腺样体肥大，扁桃体肥大	有
1	有	会憋醒，会突然做起来
1	会憋醒，会突然做起来	睡觉总是趴着睡
1	睡觉总是趴着睡	一发烧扁桃体就发炎，喝退烧药退烧还起烧，只能挂水，现在扁桃体很大，吞咽慢，拍的片子显示腺样体已经堵三分之二了
1	甲状腺疾病甲状腺疾病桥本甲状腺炎加甲减	那从我这个诊断书上面看我病情怎么样
1	那从我这个诊断书上面看我病情怎么样	没做彩超之前做过没有结节只是回声不均匀
1	精子成活率低精子成活率低，要孩子困难，求救	谢谢您，检查说没有精索静脉曲张，y染色体微缺一般怎么检查了
1	两个胸肌之间微疼痛，双手抱双肩时较明显。胸腺疼痛困扰正	您好！
1	您好！	如何治疗呢
1	害怕，躲避，有一些心理应激反映儿童心理咨询	多谢黄医生答复。我今天去了儿童医院，他们那里没有儿童心理科，是精神科里的孤独多动抽动门诊，想问您哪里去看合适。
1	多谢黄医生答复。我今天去了儿童医院，他们那里没有儿童心理科，是精神科里的孤独多动抽动门诊，想问您哪里去看合适。	能去您那里看一下吗
1	能去您那里看一下吗	真的很担心
1	肾结石没有这内病情	我今天有去医院拍片了，还在里面
1	我今天有去医院拍片了，还在里面	我吃了好多要，都不管用
1	怀孕扁桃体发炎一周吃过药未好怀孕5周扁桃体发炎咳黄痰一	才1个多月。不知道怎么办，感觉肺部都是黄痰
1	月经没来生完孩子14个月，一直未来例假	纯母乳现在没来例假正常么
1	纯母乳现在没来例假正常么	您的意思是，例假快来了，因为白带也增多了是么？
1	耳鸣耳鸣怎么办	那要怎么样才能治的好，最近感觉听力有点下降
1	子宫内膜不典型性增生是不是还要继续人工调理周期	现在体重156.身高164
1	现在体重156.身高164	是多囊，月经不正常
1	是多囊，月经不正常	我的这种情况会怀孕吗？需要促排吗？
1	我的这种情况会怀孕吗？需要促排吗？	体重下来，月经正常了，会自然受孕吗？必须要使用促排卵药吗？
1	喉咙有异物感无病史，之前没做过这方面检查一	有个白点
1	有个白点	声带出处有白色分泌物
1	声带出处有白色分泌物	可是为什么会有不舒服的感觉
1	可是为什么会有不舒服的感觉	这个白点吃药退得掉吗？
1	早泄早泄治疗效果不是很好	没有，就测了敏感度
1	没有，就测了敏感度	一般做下多少钱
1	所有检查都挺好的	胃检查了，挺好的。刚开始按食道管返流病看的
1	血小板低血小板降低已一年有余，怎样恢复到正常范	谢谢您的建议！祝您工作顺利！
1	宫颈病变宫颈病变是否需要手术	那会不会很快病变范围扩大和病灶升级？
1	那会不会很快病变范围扩大和病灶升级？	其中一个宫颈点已经是2级了我怕很快发展成3级
1	其中一个宫颈点已经是2级了我怕很快发展成3级	另外如果一年内，HPV病毒清除了，我的病变就肯定不会再往严重发展了是吗？
1	另外如果一年内，HPV病毒清除了，我的病变就肯定不会再往严重发展了是吗？	那需要药物治疗吗
1	试管移植后拉肚子，一天2，3次女性不孕症试管移植后拉肚	是新鲜周期移植，31号移植的
1	是新鲜周期移植，31号移植的	谢谢林主任回复我
1	近视近视激光手术	好的，谢谢医生
1	便血便血3天，用马应龙没有好转	来月经也能检查吗，能不能到月经后
1	来月经也能检查吗，能不能到月经后	您是指来月经也可以检查，还是我可以等到月经后再去检查？
1	脑梗塞轻微脑梗能不能根治	你好茹医生
1	你好茹医生	我这病是不是长期得吃药吗
1	下巴脱臼下巴脱臼的治疗方案	网上说的中医治疗下巴脱臼可靠吗？好像什么祖传秘方的膏药敷贴，一个疗程好几千呢。
1	手腕被玻璃割伤会不会是破伤风	没有出现你说的那种情况，只是感觉四肢有点抽筋的感觉
1	内眼角修复全切双眼皮内眼角失败，内侧眼轮匝肌断裂，想要修复	好的，谢谢甘医生。那我就不继续作死了。^_^就这么着吧，至少能见人
1	一胎剖腹产！二胎想顺产！间隔为7年！一胎剖腹二胎顺产可	咱们医院接生过这类产妇吗
1	咱们医院接生过这类产妇吗	多少周检查？都检查哪些呢？
